global_episode,round,trained_side,prefix,completion,valid,attacker_reward,loss
1,1,attacker,FAMOUS,INSECT SPREAD,1,0.3383,0.0016
2,1,attacker,FAMOUS,INSECT SPREAD,1,0.3383,0.0014
3,1,attacker,FAMOUS,INSECT SPREAD,1,0.3383,0.0012
4,1,attacker,FAMOUS,INSECT SPREAD,1,0.3383,0.0011
5,1,attacker,FAMOUS,INSECT SPREAD,1,0.3383,0.0010
6,1,attacker,FAMOUS,INSECT SPREAD,1,0.3383,0.0008
7,1,attacker,FAMOUS,INSECT SPREAD,1,0.3383,0.0007
8,1,attacker,FAMOUS,INSECT SPREAD,1,0.3383,0.0007
9,1,attacker,FAMOUS,INSECT SPREAD,1,0.3383,0.0006
10,1,attacker,FAMOUS,INSECT SPREAD,1,0.3383,0.0005
11,1,attacker,FAMOUS,INSECT SPREAD,1,0.3383,0.0005
12,1,attacker,FAMOUS,INSECT SPREAD,1,0.3383,0.0004
13,1,attacker,FAMOUS,INSECT SPREAD,1,0.3383,0.0004
14,1,attacker,FAMOUS,INSECT SPREAD,1,0.3383,0.0003
15,1,attacker,FAMOUS,INSECT SPREAD,1,0.3383,0.0003
16,1,attacker,FAMOUS,INSECT SPREAD,1,0.3383,0.0003
17,1,attacker,FAMOUS,INSECT SPREAD,1,0.3383,0.0002
18,1,attacker,FAMOUS,INSECT SPREAD,1,0.3383,0.0002
19,1,attacker,FAMOUS,INSECT SPREAD,1,0.3383,0.0002
20,1,attacker,FAMOUS,INSECT SPREAD,1,0.3383,0.0002
21,1,attacker,FAMOUS,INSECT SPREAD,1,0.3383,0.0001
22,1,attacker,FAMOUS,INSECT SPREAD,1,0.3383,0.0001
23,1,attacker,FAMOUS,INSECT SPREAD,1,0.3383,0.0001
24,1,attacker,FAMOUS,INSECT SPREAD,1,0.3383,0.0001
25,1,attacker,FAMOUS,INSECT SPREAD,1,0.3383,0.0001
26,1,attacker,FAMOUS,INSECT SPREAD,1,0.3383,0.0001
27,1,attacker,FAMOUS,INSECT SPREAD,1,0.3383,0.0001
28,1,attacker,FAMOUS,INSECT SPREAD,1,0.3383,0.0001
29,1,attacker,FAMOUS,INSECT SPREAD,1,0.3383,0.0001
30,1,attacker,FAMOUS,INSECT SPREAD,1,0.3383,0.0000
31,1,attacker,FAMOUS,INSECT SPREAD,1,0.3383,0.0000
32,1,attacker,FAMOUS,INSECT SPREAD,1,0.3383,0.0000
33,1,attacker,FAMOUS,INSECT SPREAD,1,0.3383,0.0000
34,1,attacker,FAMOUS,INSECT SPREAD,1,0.3383,0.0000
35,1,attacker,FAMOUS,INSECT SPREAD,1,0.3383,0.0000
36,1,attacker,FAMOUS,INSECT SPREAD,1,0.3383,0.0000
37,1,attacker,FAMOUS,INSECT SPREAD,1,0.3383,0.0000
38,1,attacker,FAMOUS,INSECT SPREAD,1,0.3383,0.0000
39,1,attacker,FAMOUS,INSECT SPREAD,1,0.3383,-0.0000
40,1,attacker,FAMOUS,INSECT SPREAD,1,0.3383,-0.0000
41,1,attacker,FAMOUS,INSECT SPREAD,1,0.3383,-0.0000
42,1,attacker,FAMOUS,INSECT SPREAD,1,0.3383,-0.0000
43,1,attacker,FAMOUS,INSECT SPREAD,1,0.3383,-0.0000
44,1,attacker,FAMOUS,INSECT SPREAD,1,0.3383,-0.0000
45,1,attacker,FAMOUS,INSECT SPREAD,1,0.3383,-0.0000
46,1,attacker,FAMOUS,INSECT SPREAD,1,0.3383,-0.0000
47,1,attacker,FAMOUS,INSECT SPREAD,1,0.3383,-0.0000
48,1,attacker,FAMOUS,INSECT SPREAD,1,0.3383,-0.0000
49,1,attacker,FAMOUS,INSECT SPREAD,1,0.3383,-0.0000
50,1,attacker,FAMOUS,INSECT SPREAD,1,0.3383,-0.0000
51,1,attacker,FAMOUS,INSECT SPREAD,1,0.3383,-0.0000
52,1,attacker,FAMOUS,INSECT SPREAD,1,0.3383,-0.0000
53,1,attacker,FAMOUS,INSECT SPREAD,1,0.3383,-0.0000
54,1,attacker,FAMOUS,INSECT SPREAD,1,0.3383,-0.0000
55,1,attacker,FAMOUS,INSECT SPREAD,1,0.3383,-0.0000
56,1,attacker,FAMOUS,INSECT SPREAD,1,0.3383,-0.0000
57,1,attacker,FAMOUS,INSECT SPREAD,1,0.3383,-0.0000
58,1,attacker,FAMOUS,INSECT SPREAD,1,0.3383,-0.0000
59,1,attacker,FAMOUS,INSECT SPREAD,1,0.3383,-0.0000
60,1,attacker,FAMOUS,INSECT SPREAD,1,0.3383,-0.0000
61,1,attacker,FAMOUS,INSECT SPREAD,1,0.3383,-0.0000
62,1,attacker,FAMOUS,INSECT SPREAD,1,0.3383,-0.0000
63,1,attacker,FAMOUS,INSECT SPREAD,1,0.3383,-0.0001
64,1,attacker,FAMOUS,INSECT SPREAD,1,0.3383,-0.0001
65,1,attacker,FAMOUS,INSECT SPREAD,1,0.3383,-0.0001
66,1,attacker,FAMOUS,INSECT SPREAD,1,0.3383,-0.0001
67,1,attacker,FAMOUS,INSECT SPREAD,1,0.3383,-0.0001
68,1,attacker,FAMOUS,INSECT SPREAD,1,0.3383,-0.0001
69,1,attacker,FAMOUS,INSECT SPREAD,1,0.3383,-0.0001
70,1,attacker,FAMOUS,INSECT SPREAD,1,0.3383,-0.0001
71,1,attacker,FAMOUS,INSECT SPREAD,1,0.3383,-0.0001
72,1,attacker,FAMOUS,INSECT SPREAD,1,0.3383,-0.0001
73,1,attacker,FAMOUS,INSECT SPREAD,1,0.3383,-0.0001
74,1,attacker,FAMOUS,INSECT SPREAD,1,0.3383,-0.0001
75,1,attacker,FAMOUS,INSECT SPREAD,1,0.3383,-0.0001
76,1,attacker,FAMOUS,INSECT SPREAD,1,0.3383,-0.0001
77,1,attacker,FAMOUS,INSECT SPREAD,1,0.3383,-0.0001
78,1,attacker,FAMOUS,INSECT SPREAD,1,0.3383,-0.0001
79,1,attacker,FAMOUS,INSECT SPREAD,1,0.3383,-0.0001
80,1,attacker,FAMOUS,INSECT SPREAD,1,0.3383,-0.0001
81,1,attacker,FAMOUS,INSECT SPREAD,1,0.3383,-0.0001
82,1,attacker,FAMOUS,INSECT SPREAD,1,0.3383,-0.0001
83,1,attacker,FAMOUS,INSECT SPREAD,1,0.3383,-0.0001
84,1,attacker,FAMOUS,INSECT SPREAD,1,0.3383,-0.0001
85,1,attacker,FAMOUS,INSECT SPREAD,1,0.3383,-0.0001
86,1,attacker,FAMOUS,INSECT SPREAD,1,0.3383,-0.0001
87,1,attacker,FAMOUS,INSECT SPREAD,1,0.3383,-0.0001
88,1,attacker,FAMOUS,INSECT SPREAD,1,0.3383,-0.0001
89,1,attacker,FAMOUS,INSECT SPREAD,1,0.3383,-0.0001
90,1,attacker,FAMOUS,INSECT SPREAD,1,0.3383,-0.0001
91,1,attacker,FAMOUS,INSECT SPREAD,1,0.3383,-0.0001
92,1,attacker,FAMOUS,INSECT SPREAD,1,0.3383,-0.0001
93,1,attacker,FAMOUS,INSECT SPREAD,1,0.3383,-0.0001
94,1,attacker,FAMOUS,INSECT SPREAD,1,0.3383,-0.0001
95,1,attacker,FAMOUS,INSECT SPREAD,1,0.3383,-0.0001
96,1,attacker,FAMOUS,INSECT SPREAD,1,0.3383,-0.0001
97,1,attacker,FAMOUS,INSECT SPREAD,1,0.3383,-0.0001
98,1,attacker,FAMOUS,INSECT SPREAD,1,0.3383,-0.0001
99,1,attacker,FAMOUS,INSECT SPREAD,1,0.3383,-0.0001
100,1,attacker,FAMOUS,INSECT SPREAD,1,0.3383,-0.0001
101,1,attacker,FAMOUS,INSECT SPREAD,1,0.3383,-0.0001
102,1,attacker,FAMOUS,INSECT SPREAD,1,0.3383,-0.0001
103,1,attacker,FAMOUS,INSECT SPREAD,1,0.3383,-0.0001
104,1,attacker,FAMOUS,INSECT SPREAD,1,0.3383,-0.0001
105,1,attacker,FAMOUS,INSECT SPREAD,1,0.3383,-0.0001
106,1,attacker,FAMOUS,INSECT SPREAD,1,0.3383,-0.0001
107,1,attacker,FAMOUS,INSECT SPREAD,1,0.3383,-0.0001
108,1,attacker,FAMOUS,INSECT SPREAD,1,0.3383,-0.0001
109,1,attacker,FAMOUS,INSECT SPREAD,1,0.3383,-0.0002
110,1,attacker,FAMOUS,INSECT SPREAD,1,0.3383,-0.0001
111,1,attacker,FAMOUS,INSECT SPREAD,1,0.3383,-0.0001
112,1,attacker,FAMOUS,INSECT SPREAD,1,0.3383,-0.0002
113,1,attacker,FAMOUS,INSECT SPREAD,1,0.3383,-0.0002
114,1,attacker,FAMOUS,INSECT SPREAD,1,0.3383,-0.0002
115,1,attacker,FAMOUS,INSECT SPREAD,1,0.3383,-0.0002
116,1,attacker,FAMOUS,INSECT SPREAD,1,0.3383,-0.0003
117,1,attacker,FAMOUS,INSECT SPREAD,1,0.3383,-0.0002
118,1,attacker,FAMOUS,INSECT SPREAD,1,0.3383,-0.0003
119,1,attacker,FAMOUS,INSECT SPREAD,1,0.3383,-0.0004
120,1,attacker,FAMOUS,INSECT SPREAD,1,0.3383,-0.0005
121,1,attacker,FAMOUS,INSECT SPREAD,1,0.3383,-0.0006
122,1,attacker,FAMOUS,INSECT SPREAD,1,0.3383,-0.0008
123,1,attacker,FAMOUS,INSECT SPREAD,1,0.3383,-0.0011
124,1,attacker,FAMOUS,INSECT SPREAD,1,0.3383,-0.0023
125,1,attacker,FAMOUS,INSECT SPREAD,1,0.3383,-0.0024
126,1,attacker,FAMOUS,INSECT SPREAD,1,0.3383,-0.0025
127,1,attacker,FAMOUS,INSECT SPREAD,1,0.3383,-0.0111
128,1,attacker,FAMOUS,INSECT SPREAD,1,0.3383,-0.0206
129,1,attacker,FAMOUS,INSECT SPREAD,1,0.3383,-0.0415
130,1,attacker,CHAOTIC,COMPUTER FALL,1,0.4647,0.3439
131,1,attacker,DORMANT,COMPUTER FAIL,1,0.4579,0.1219
132,1,attacker,CORRUPTED,COMPUTER FALL,1,0.4634,0.2684
133,1,attacker,FAMOUS,INSECT SPREAD,1,0.3383,-0.1569
134,1,attacker,STONE,BURN,1,0.2030,-0.9272
135,1,attacker,INSECT,SPREAD,1,0.2306,-0.7134
136,1,attacker,SECRET,ELDER BURN,1,0.4291,0.1618
137,1,attacker,PROUD,CAT BURN,0,1.3811,4.1739
138,1,attacker,SECRET,SOLDIER BURN,1,0.4048,-0.1740
139,1,attacker,DEBT,SPREAD,1,0.2036,-0.9550
140,1,attacker,WOOD BURN BURN BURN BURN FALL,BURN,1,0.1336,-1.6781
141,1,attacker,WOLF,BURN,1,0.2303,-0.9135
142,1,attacker,SENSOR,FAIL,1,0.2216,-0.8947
143,1,attacker,METAL,BURN,1,0.2030,-0.9341
144,1,attacker,DOG,BURN,1,0.2279,-0.7884
145,1,attacker,DEBT,SPREAD,1,0.2036,-0.8023
146,1,attacker,INSECT,SPREAD,1,0.2306,-0.7420
147,1,attacker,MEMORY,SPREAD,1,0.2046,-0.7637
148,1,attacker,CHOICE,SPREAD,1,0.2266,-0.6556
149,1,attacker,PLAN,SPREAD,1,0.2080,-0.7459
150,1,attacker,ERROR,SPREAD,1,0.2312,-0.6582
151,1,attacker,PLAN,SPREAD,1,0.2080,-0.7141
152,1,attacker,WOLF,BURN,1,0.2303,-0.6578
153,1,attacker,COMPLEX,INSECT SPREAD,1,0.3383,-0.0698
154,1,attacker,CLOCK,FAIL,1,0.2329,-0.5837
155,1,attacker,DORMANT,COMPUTER FAIL,1,0.4579,0.1231
156,1,attacker,ERROR,SPREAD,1,0.2312,-0.7348
157,1,attacker,FAMOUS,INSECT SPREAD,1,0.3383,-0.0538
158,1,attacker,DORMANT,COMPUTER FAIL,1,0.4579,0.0805
159,1,attacker,LEADER,BURN,1,0.2478,-0.6943
160,1,attacker,DORMANT,COMPUTER FAIL,1,0.4579,0.0748
161,1,attacker,FAMOUS,INSECT SPREAD,1,0.3383,-0.0298
162,1,attacker,DORMANT,ROBOT FALL,1,0.4584,0.0794
163,1,attacker,FAMOUS,INSECT SPREAD,1,0.3383,-0.0315
164,1,attacker,FAMOUS,INSECT SPREAD,1,0.3383,-0.0393
165,1,attacker,FAMOUS,INSECT SPREAD,1,0.3383,-0.0213
166,1,attacker,DORMANT,CAMERA FAIL,0,1.4506,0.8050
167,1,attacker,DORMANT,COMPUTER FAIL,1,0.4579,0.0139
168,1,attacker,FAMOUS,INSECT SPREAD,1,0.3383,-0.0912
169,1,attacker,FAMOUS,INSECT SPREAD,1,0.3383,-0.1578
170,1,attacker,DORMANT,COMPUTER FAIL,1,0.4579,0.0120
171,1,attacker,DORMANT,COMPUTER FAIL,1,0.4579,0.0110
172,1,attacker,DORMANT,COMPUTER FAIL,1,0.4579,0.0083
173,1,attacker,DORMANT,ROBOT FALL,1,0.4584,0.0055
174,1,attacker,FAMOUS,INSECT SPREAD,1,0.3383,-0.2110
175,1,attacker,DORMANT,COMPUTER FAIL,1,0.4579,0.0052
176,1,attacker,DORMANT,COMPUTER FAIL,1,0.4579,0.0038
177,1,attacker,FAMOUS,INSECT SPREAD,1,0.3383,-0.2931
178,1,attacker,DORMANT,COMPUTER FAIL,1,0.4579,0.0040
179,1,attacker,DORMANT,DRONE FAIL,1,0.4600,0.0035
180,1,attacker,DORMANT,COMPUTER FAIL,1,0.4579,0.0020
181,1,attacker,DORMANT,DRONE FAIL,1,0.4600,0.0021
182,1,attacker,KEY,SPREAD,1,0.2165,-1.3704
183,1,attacker,SYSTEM,SPREAD,1,0.2105,-1.1441
184,1,attacker,DORMANT,DRONE COMPUTE OPTIMAL DORMANT ENCRYPTED TRUTH,0,1.4045,0.4375
185,1,attacker,SOLDIER SEE FAMOUS DIRTY,INSECT,1,0.2692,-2.2823
186,1,attacker,DORMANT,COMPUTER FAIL,1,0.4579,-0.0087
187,1,attacker,CAMERA,FAIL,1,0.2374,-1.4972
188,1,attacker,DORMANT,DRONE FALL,1,0.4478,-0.0078
189,1,attacker,DORMANT,DRONE FAIL,1,0.4600,-0.0043
190,1,attacker,DORMANT,DRONE FALL,1,0.4478,-0.0087
191,1,attacker,DORMANT ROBOT,FALL,1,0.3423,-0.7168
192,1,attacker,DORMANT,ROBOT,0,1.3742,0.2349
193,1,attacker,DORMANT,SEED BURN,0,1.4243,0.1972
194,1,attacker,DORMANT,ROBOT FALL,1,0.4584,-0.0280
195,1,attacker,DORMANT,SHARP FIRE BURN,0,1.4260,0.1438
196,1,attacker,DORMANT,DRONE FALL,1,0.4478,-0.0303
197,1,attacker,DORMANT,FIRE BURN,0,1.4243,0.1340
198,1,attacker,DORMANT,COMPUTER FAIL,1,0.4579,-0.0352
199,1,attacker,DORMANT,DRONE MOVE SENSOR,0,1.4564,0.1161
200,1,attacker,DORMANT,SENSOR FAIL,0,1.4516,0.1081
201,1,attacker,DORMANT,DRONE FAIL,1,0.4600,-0.0371
202,1,attacker,DORMANT,COMPUTER FAIL,1,0.4579,-0.0355
203,1,attacker,DORMANT,BIRD BURN,0,1.4294,0.0828
204,1,attacker,DORMANT,COMPUTER FAIL,1,0.4579,-0.0415
205,1,attacker,DORMANT,COMPUTER FAIL,1,0.4579,-0.0296
