episode,prefix,completion,valid,reward,grammar_reward,tag_reward,axis_reward,noun_tag_dist,verb_tag_dist,adj_tag_dist,loss,baseline
1,ANGRY CROWD FALL,POISON DENSE BOOK FAIL SEE KEY FOREST HEAR,0,1.3176,1.0000,1.0000,0.0882,1.0000,1.0000,1.0000,13.8585,0.0659
2,REBELLIOUS GUARD BUILD STRONG MAP BREAK,BRIDGE ROBOT UPDATE MAN DRONE,0,1.2888,1.0000,0.9259,0.0549,0.7778,1.0000,1.0000,23.4745,0.1270
3,ENCRYPTED LANGUAGE,MOVE RIVER,0,1.3910,1.0000,1.0000,0.4550,1.0000,1.0000,1.0000,9.9749,0.1902
4,ROAD,OUTCAST SEED FAMOUS TRUST DEBT CAR BURN,0,1.3051,1.0000,1.0000,0.0254,1.0000,1.0000,1.0000,5.5600,0.2460
5,CAR FALL,HEAR CITY SEE WOMAN THINK ROOM SMALL COMPUTER FAST MOVE CORRUPTED ENCRYPTED CAT CARRY GROW,0,1.2801,1.0000,0.9107,0.0344,0.8750,0.8571,1.0000,6.1816,0.2977
6,WOMAN HELP VAST INSECT WANT CHOICE,STRONG COMPUTER RUN,0,1.3161,1.0000,1.0000,0.0804,1.0000,1.0000,1.0000,23.6020,0.3486
7,DUST,SOLDIER CAMERA TRAPPED POWER SECRET ENCODE TIME RUN,0,1.3453,1.0000,1.0000,0.2267,1.0000,1.0000,1.0000,4.4879,0.3984
8,CALM BIRD GROW,RUN SOLDIER,0,1.2427,1.0000,0.7778,0.0466,0.6667,0.6667,1.0000,8.4782,0.4406
9,SYSTEM SPREAD,,1,0.2000,0.0000,0.6667,0.0000,1.0000,1.0000,0.0000,-1.4930,0.4286
10,TRAPPED STRANGER,WEAK BREAK KEY SPREAD PATTERN BIRD,0,1.3286,1.0000,0.9524,0.2144,0.8571,1.0000,1.0000,6.9047,0.4736
11,ROAD,BREAK TIME FAST ANGRY BETRAY DIRTY WOMAN BIRD,0,1.3345,1.0000,1.0000,0.1724,1.0000,1.0000,1.0000,3.9041,0.5167
12,ENCRYPTED TRUTH,WEAPON KEY MOUNTAIN FAIL RULE,0,1.3095,1.0000,0.9524,0.1190,0.8571,1.0000,1.0000,6.0808,0.5563
13,BRIDGE,BURN LEADER,0,1.2131,1.0000,0.6667,0.0656,1.0000,1.0000,0.0000,3.1661,0.5891
14,ENGINE SEE FAMOUS WEAK CAT FALL,,1,0.3000,0.0000,1.0000,0.0000,1.0000,1.0000,1.0000,-4.9691,0.5747
15,BIRD MOVE METAL FORGET ACTIVE TRAPPED,ASK WOLF LEADER CHOICE,0,1.3013,1.0000,0.9048,0.1495,0.7143,1.0000,1.0000,16.1150,0.6110
16,LAW SPREAD,ACTIVE DOG LANGUAGE,0,1.2903,1.0000,0.9333,0.0516,0.8000,1.0000,1.0000,4.0623,0.6450
17,WOLF FALL,,1,0.2000,0.0000,0.6667,0.0000,1.0000,1.0000,0.0000,-3.3438,0.6227
18,TRAPPED INSECT,,0,1.2000,1.0000,0.6667,0.0000,1.0000,0.0000,1.0000,4.2431,0.6516
19,WOLF ATTACK MOUNTAIN SPREAD,,1,0.2000,0.0000,0.6667,0.0000,1.0000,1.0000,0.0000,-7.2692,0.6290
20,BORDER GROW,DRONE FALL RULE,0,1.1498,1.0000,0.4889,0.0159,0.8000,0.6667,0.0000,2.8895,0.6551
21,VAST FEAR,SPREAD BREAK FAST ISOLATED FALL PATTERN,0,1.3110,1.0000,0.8889,0.2217,0.6667,1.0000,1.0000,5.6317,0.6879
22,CALM ELDER,HEAR DENSE CALM CAMERA,0,1.2647,1.0000,0.8333,0.0733,1.0000,1.0000,0.5000,4.1137,0.7167
23,ENGINE GENERATE ENCRYPTED DEBT,MOVE WEAPON GROW,0,1.3202,1.0000,0.9333,0.2011,0.8000,1.0000,1.0000,7.8199,0.7469
24,SAD SOLDIER GROW,CHOOSE REBELLIOUS FALL FALL PHONE EAT BURN,0,1.2906,1.0000,0.9524,0.0244,1.0000,0.8571,1.0000,5.2966,0.7741
25,LANGUAGE,WOLF ELDER SPREAD ATTACK CROWD STRONG DORMANT HAPPY ENGINE CLOCK,0,1.3387,1.0000,1.0000,0.1935,1.0000,1.0000,1.0000,2.5857,0.8023
26,DUST,HEAR TRUTH GUARD FIRE STRANGER TALK CAMERA LEADER SENSOR,0,1.2250,1.0000,0.6296,0.1805,0.8889,1.0000,0.0000,1.7916,0.8234
27,COMPUTER FAIL,METAL SEE PLAN FREE TRUSTED ENGINE LEADER,0,1.3190,1.0000,0.9630,0.1504,0.8889,1.0000,1.0000,3.1993,0.8482
28,WEAK BIRD HEAR DUST HEAR DULL,HORSE OPTIMAL FAIL COMPUTER,0,1.2942,1.0000,0.8889,0.1378,0.6667,1.0000,1.0000,8.3901,0.8705
29,FOOD BURN,TIME CARRY ORDERED HOME SAD OBEDIENT GUARD,0,1.2880,1.0000,0.8889,0.1066,1.0000,0.6667,1.0000,2.5716,0.8914
30,CONNECTED WOOD GROW,ENCODE,0,1.3605,1.0000,1.0000,0.3023,1.0000,1.0000,1.0000,4.6131,0.9148
31,CITY,CROWD FALL,0,1.2283,1.0000,0.6667,0.1413,1.0000,1.0000,0.0000,1.4296,0.9305
32,CHANCE GROW,,1,0.2000,0.0000,0.6667,0.0000,1.0000,1.0000,0.0000,-4.0176,0.8940
33,SMALL MAP GROW,HAPPY BURN,0,1.2804,1.0000,0.8889,0.0688,1.0000,0.6667,1.0000,3.5771,0.9133
34,CHOICE,ENCODE,0,1.2456,1.0000,0.6667,0.2282,1.0000,1.0000,0.0000,1.4722,0.9299
35,COMPUTER UPDATE CONNECTED ENCRYPTED POISON UPDATE,WOLF SEE IDENTITY REBELLIOUS WEAK OUTCAST TOOL UPDATE FIRE,0,1.2353,1.0000,0.7116,0.1091,0.7778,0.5000,0.8571,5.0950,0.9452
36,VAST WOOD,,0,1.2000,1.0000,0.6667,0.0000,1.0000,0.0000,1.0000,2.1001,0.9579
37,RULE SPREAD,HEAVY BIRD,0,1.3654,1.0000,1.0000,0.3268,1.0000,1.0000,1.0000,2.4381,0.9783
38,CROWD GROW,SOLDIER CAT,0,1.1366,1.0000,0.4444,0.0164,0.3333,1.0000,0.0000,1.0861,0.9862
39,OUTCAST ELDER SPREAD,DORMANT DEAD BURN,0,1.4267,1.0000,1.0000,0.6336,1.0000,1.0000,1.0000,4.6563,1.0082
40,TRUSTED CROWD,MOVE SAD ELDER WEAK LIE BURN UPDATE SEED SPREAD SMALL SEED,0,1.2845,1.0000,0.8889,0.0889,0.6667,1.0000,1.0000,2.2090,1.0220
41,ACTIVE CLOCK HEAR COMPUTER SEE DOG,AUTOMATED RUN BUILD ACTIVE FAIL GROW WEAPON,0,1.2359,1.0000,0.7778,0.0129,0.8333,1.0000,0.5000,4.7120,1.0327
42,CITY,BUILD PATTERN BURN,0,1.2348,1.0000,0.6667,0.1742,1.0000,1.0000,0.0000,0.8852,1.0428
43,SHARP ROBOT,MOVE HEAR SENSOR LEADER LIE WANT BOOK MAN CAMERA CORRUPTED REBELLIOUS MOVE WOOD FALL,0,1.3133,1.0000,0.9667,0.1164,0.9000,1.0000,1.0000,2.2991,1.0564
44,CITY,FAIL,0,1.2513,1.0000,0.6667,0.2567,1.0000,1.0000,0.0000,0.8236,1.0661
45,ROAD,HEAR CHANCE GROW SOLDIER MOVE HEAVY THINK WEAK CAT ASHAMED GUARD BUILD,0,1.3216,1.0000,1.0000,0.1082,1.0000,1.0000,1.0000,1.0972,1.0789
46,HEAVY METAL,WOLF CROWD UPDATE ROBOT ORDERED VAST CAT,0,1.3168,1.0000,0.9333,0.1839,1.0000,1.0000,0.8000,1.9909,1.0908
47,ORDERED FEAR SPREAD,CLOCK BURN FALL,0,1.3569,1.0000,1.0000,0.2845,1.0000,1.0000,1.0000,2.6177,1.1041
48,BIRD KNOW FOREST HELP BIRD ATTACK,SECRET WEAK BIRD SOLDIER,0,1.2666,1.0000,0.8667,0.0332,0.6000,1.0000,1.0000,3.3790,1.1122
49,ASHAMED ELDER BURN,LIE DORMANT SIMPLE WEAK FREE ERROR COMPLEX TOOL BIG ERROR UPDATE COMPLEX DULL FIRE,0,1.3374,1.0000,0.9667,0.2369,1.0000,1.0000,0.9000,2.1662,1.1235
