episode,source,prefix,completion,valid,attacker_reward,defender_reward,loss,baseline
1,random,IDENTITY,GROW,1,0.2721,-0.2721,-0.1831,-0.0136
2,random,IDENTITY,SPREAD,1,0.2161,-0.2161,-0.1357,-0.0237
3,attacker,FAMOUS,POISON FALL,1,0.3844,-0.3844,-1.4617,-0.0418
4,attacker,FAMOUS,INSECT HEAR DEAD LEADER HEAR AUTOMATED VAST CHOICE HEAR CALM STRONG GUARD,1,0.3442,-0.3442,-9.6715,-0.0569
5,attacker,FAMOUS,SEED BURN,0,1.4000,-1.4000,-9.1375,-0.1240
6,random,CLEAN,STRANGER RUN,1,0.4000,-0.4000,-1.3478,-0.1378
7,attacker,FAMOUS,INSECT HEAR SMALL ROBOT,1,0.3725,-0.3725,-2.5018,-0.1496
8,random,ACTIVE ENGINE,UPDATE MEMORY FALL,1,0.3143,-0.3143,-1.3982,-0.1578
9,attacker,FAMOUS,INSECT HEAR COMPLEX DEBT HEAR CLEAN CALM HORSE HEAR TOOL,1,0.3267,-0.3267,-5.1425,-0.1662
10,attacker,FAMOUS,CHANCE SPREAD,1,0.3304,-0.3304,-0.6659,-0.1745
11,random,TRAPPED GUARD,GROW,1,0.3031,-0.3031,-0.3131,-0.1809
12,random,TIME GROW FAIL SPREAD,MOVE BIG DULL MAP FAIL,0,1.2580,-1.2580,-15.0509,-0.2347
13,random,WOOD BURN,MOVE BIG SENSOR,0,1.2771,-1.2771,-9.4489,-0.2869
14,random,RULE SPREAD GROW,SPREAD,1,0.1524,-0.1524,0.1551,-0.2801
15,random,ENCRYPTED CAR FAIL,FALL,1,0.3686,-0.3686,-0.1430,-0.2846
16,attacker,FAMOUS,INSECT HEAR RULE HEAR SMALL SECRET WOMAN SPREAD,1,0.3265,-0.3265,-0.8323,-0.2867
17,attacker,FAMOUS,INSECT HEAR FREE DOG,1,0.3493,-0.3493,-0.5820,-0.2898
18,attacker,FAMOUS,INSECT HEAR CLEAN CHILD,1,0.3198,-0.3198,-0.2301,-0.2913
19,random,SIMPLE PATTERN GROW GROW,HEAR HAPPY ACTIVE SOLDIER,0,1.3199,-1.3199,-16.5723,-0.3427
20,attacker,FAMOUS,CAT CARRY CORRUPTED MAP,1,0.3832,-0.3832,-0.4503,-0.3447
21,attacker,FAMOUS,INSECT GROW,1,0.3840,-0.3840,-0.0736,-0.3467
22,attacker,FAMOUS,INSECT SPREAD,1,0.3383,-0.3383,0.0144,-0.3463
23,attacker,FAMOUS,FIRE MOVE PRISON MOVE DIRTY DORMANT SOLDIER FALL,0,1.3798,-1.3798,-25.8297,-0.3980
24,attacker,FAMOUS,INSECT GROW,1,0.3840,-0.3840,0.0256,-0.3973
25,attacker,FAMOUS,INSECT HEAR TRUSTED HORSE,1,0.2445,-0.2445,1.3426,-0.3896
26,attacker,FAMOUS,INSECT HEAR CAMERA,1,0.3598,-0.3598,0.1979,-0.3881
27,random,VAST NETWORK,BURN,0,1.3378,-1.3378,-3.6017,-0.4356
28,random,ENGINE SEE,DULL COMPLEX CAR,1,0.2796,-0.2796,1.5105,-0.4278
29,attacker,FAMOUS,WEAPON BURN,1,0.3864,-0.3864,0.1499,-0.4257
30,attacker,FAMOUS,WEAPON SPREAD,1,0.3423,-0.3423,0.3135,-0.4216
31,attacker,FAMOUS,INSECT HEAR SLOW SENSOR FAIL,0,1.3840,-1.3840,-14.3671,-0.4697
32,random,PROUD,STRANGER BREAK BIG TOOL,1,0.3859,-0.3859,0.8657,-0.4655
33,attacker,FAMOUS,INSECT GROW,1,0.3840,-0.3840,0.1595,-0.4614
34,random,COMPUTER FAIL MOVE WOOD BREAK,OBEDIENT CAT,1,0.3113,-0.3113,0.8565,-0.4539
35,random,POWER GROW SPREAD GROW GROW SPREAD,SPREAD,1,0.1595,-0.1595,0.2609,-0.4392
36,attacker,FAMOUS,POISON GROW,1,0.3864,-0.3864,0.2282,-0.4366
37,attacker,FAMOUS,INSECT GROW,1,0.3840,-0.3840,0.0989,-0.4339
38,random,TRAPPED BIRD BURN FALL FALL BURN,BURN,1,0.2343,-0.2343,0.4702,-0.4239
39,attacker,FAMOUS,WATER GROW,0,1.4000,-1.4000,-9.9996,-0.4728
40,attacker,FAMOUS,CHOICE GROW,0,1.3576,-1.3576,-8.1466,-0.5170
41,random,LEADER BURN BURN BURN FALL,CHAOTIC MAP,0,1.3061,-1.3061,-5.9001,-0.5564
42,attacker,FAMOUS,INSECT GROW,1,0.3840,-0.3840,0.2919,-0.5478
43,attacker,FAMOUS,INSECT SPREAD,1,0.3383,-0.3383,0.3041,-0.5373
44,attacker,FAMOUS,INSECT HEAR DIRTY CLEAN BIRD HEAR TRAPPED ELDER,1,0.3349,-0.3349,4.1191,-0.5272
45,random,OUTCAST ELDER,MOVE METAL BUILD METAL,1,0.3131,-0.3131,2.9883,-0.5165
46,attacker,FAMOUS,INSECT GROW,1,0.3840,-0.3840,0.1966,-0.5099
47,random,TIME GROW,SPREAD,1,0.2120,-0.2120,0.2474,-0.4950
48,attacker,FAMOUS,INSECT GROW,1,0.3840,-0.3840,0.1532,-0.4894
49,attacker,FAMOUS,INSECT GROW,1,0.3840,-0.3840,0.1394,-0.4842
50,random,CLOCK HEAR ENCRYPTED PLAN UPDATE DORMANT,ROBOT,1,0.2568,-0.2568,0.3629,-0.4728
51,attacker,FAMOUS,WEAPON SPREAD,1,0.3423,-0.3423,0.4424,-0.4663
52,attacker,FAMOUS,INSECT SPREAD,1,0.3383,-0.3383,0.1325,-0.4599
53,random,CONNECTED,BIRD BREAK KEY,1,0.3617,-0.3617,0.9701,-0.4550
54,random,DRONE,FALL,1,0.2443,-0.2443,0.3190,-0.4444
55,random,SHARP ELDER,BUILD HEAVY SEED SEE DUST,1,0.3161,-0.3161,2.2910,-0.4380
56,attacker,FAMOUS,CAR FALL,0,1.3846,-1.3846,-8.0233,-0.4853
57,attacker,FAMOUS,INSECT SPREAD,1,0.3383,-0.3383,0.1366,-0.4780
58,random,OUTCAST,ELDER MOVE TRAPPED HORSE,1,0.4462,-0.4462,0.3153,-0.4764
59,attacker,FAMOUS,INSECT GROW,1,0.3840,-0.3840,0.0942,-0.4718
60,attacker,FAMOUS,WEAPON BURN,1,0.3864,-0.3864,0.4132,-0.4675
61,attacker,FAMOUS,INSECT SPREAD,1,0.3383,-0.3383,0.1121,-0.4611
62,attacker,FAMOUS,INSECT SPREAD,1,0.3383,-0.3383,0.1048,-0.4549
63,attacker,FAMOUS,INSECT GROW,1,0.3840,-0.3840,0.0689,-0.4514
64,random,FIRE MOVE,STRONG MAP,1,0.2840,-0.2840,1.4471,-0.4430
65,attacker,FAMOUS,INSECT SPREAD,1,0.3383,-0.3383,0.0847,-0.4378
66,attacker,FAMOUS,INSECT GROW,1,0.3840,-0.3840,0.0506,-0.4351
67,attacker,FAMOUS,INSECT GROW,1,0.3840,-0.3840,0.0476,-0.4325
68,attacker,FAMOUS,INSECT SPREAD,1,0.3383,-0.3383,0.0729,-0.4278
69,random,PATTERN GROW,SPREAD,1,0.2302,-0.2302,0.1428,-0.4179
70,attacker,FAMOUS,INSECT SPREAD,1,0.3383,-0.3383,0.0598,-0.4139
71,attacker,FAMOUS,INSECT GROW,1,0.3840,-0.3840,0.0271,-0.4124
72,random,BROKEN,GUARD MOVE FOREST,1,0.4472,-0.4472,-0.2517,-0.4142
73,attacker,FAMOUS,INSECT GROW,1,0.3840,-0.3840,0.0271,-0.4127
74,attacker,FAMOUS,INSECT SPREAD,1,0.3383,-0.3383,0.0531,-0.4090
75,random,FAMOUS CAT ATTACK BIRD,BURN,1,0.3326,-0.3326,0.1539,-0.4051
76,attacker,FAMOUS,INSECT SPREAD,1,0.3383,-0.3383,0.0467,-0.4018
77,attacker,FAMOUS,INSECT GROW,1,0.3840,-0.3840,0.0159,-0.4009
78,attacker,FAMOUS,INSECT SPREAD,1,0.3383,-0.3383,0.0427,-0.3978
79,attacker,FAMOUS,INSECT GROW,1,0.3840,-0.3840,0.0124,-0.3971
80,attacker,FAMOUS,INSECT GROW,1,0.3840,-0.3840,0.0118,-0.3964
81,random,POISON FAIL BURN FAIL,SPREAD,1,0.2040,-0.2040,0.2200,-0.3868
82,attacker,FAMOUS,INSECT GROW,1,0.3840,-0.3840,0.0026,-0.3867
83,attacker,FAMOUS,INSECT SPREAD,1,0.3383,-0.3383,0.0315,-0.3842
84,attacker,FAMOUS,INSECT GROW,1,0.3840,-0.3840,0.0002,-0.3842
85,attacker,FAMOUS,INSECT SPREAD,1,0.3383,-0.3383,0.0294,-0.3819
86,attacker,FAMOUS,INSECT SPREAD,1,0.3383,-0.3383,0.0276,-0.3798
87,attacker,FAMOUS,INSECT SPREAD,1,0.3383,-0.3383,0.0260,-0.3777
88,attacker,FAMOUS,INSECT SPREAD,1,0.3383,-0.3383,0.0244,-0.3757
89,random,ENCRYPTED,SOLDIER BREAK TOOL,1,0.3858,-0.3858,-0.0853,-0.3762
90,random,IDENTITY SPREAD,SPREAD,1,0.1054,-0.1054,0.1435,-0.3627
91,attacker,FAMOUS,INSECT SPREAD,1,0.3383,-0.3383,0.0145,-0.3615
92,attacker,FAMOUS,INSECT GROW,1,0.3840,-0.3840,-0.0218,-0.3626
93,attacker,FAMOUS,INSECT SPREAD,1,0.3383,-0.3383,0.0141,-0.3614
94,random,WEAPON,SPREAD,1,0.2377,-0.2377,0.0974,-0.3552
95,random,CAMERA,FAIL,1,0.2374,-0.2374,0.1419,-0.3493
96,attacker,FAMOUS,INSECT GROW,1,0.3840,-0.3840,-0.0348,-0.3510
97,attacker,FAMOUS,INSECT SPREAD,1,0.3383,-0.3383,0.0070,-0.3504
98,attacker,FAMOUS,INSECT SPREAD,1,0.3383,-0.3383,0.0066,-0.3498
99,attacker,FAMOUS,INSECT SPREAD,1,0.3383,-0.3383,0.0062,-0.3492
100,attacker,FAMOUS,INSECT SPREAD,1,0.3383,-0.3383,0.0058,-0.3487
101,random,DULL CLOCK FAIL HEAR RULE,HEAR SHARP HORSE,0,1.2539,-1.2539,-8.9704,-0.3939
102,attacker,FAMOUS,INSECT GROW,1,0.3840,-0.3840,0.0105,-0.3934
103,attacker,FAMOUS,INSECT GROW,1,0.3840,-0.3840,0.0100,-0.3930
104,random,OPTIMAL KEY,FALL,1,0.3452,-0.3452,0.0984,-0.3906
105,attacker,FAMOUS,INSECT GROW,1,0.3840,-0.3840,0.0071,-0.3902
106,attacker,FAMOUS,INSECT GROW,1,0.3840,-0.3840,0.0067,-0.3899
107,random,MAP,SPREAD,1,0.2120,-0.2120,0.1990,-0.3810
108,random,ELDER KNOW SEED ATTACK TRUSTED CHAOTIC,ENGINE ATTACK CLOCK FOLLOW SLOW SOLDIER,0,1.2151,-1.2151,-22.1583,-0.4227
109,attacker,FAMOUS,WEAPON GROW,1,0.3854,-0.3854,0.2044,-0.4209
110,attacker,DIRTY,CAT FORGET LANGUAGE,0,1.4769,-1.4769,-12.7619,-0.4737
111,attacker,FAMOUS,INSECT SPREAD,1,0.3383,-0.3383,0.0685,-0.4669
112,attacker,FAMOUS,INSECT SPREAD,1,0.3383,-0.3383,0.0647,-0.4605
113,random,PROUD,STRANGER FALL,1,0.3843,-0.3843,0.1912,-0.4567
114,attacker,FAMOUS,INSECT SPREAD,1,0.3383,-0.3383,0.0584,-0.4507
115,attacker,FAMOUS,INSECT SPREAD,1,0.3383,-0.3383,0.0548,-0.4451
116,random,CHAOTIC CLOCK,FAIL,0,1.4000,-1.4000,-2.4978,-0.4929
117,attacker,FAMOUS,INSECT GROW,1,0.3840,-0.3840,0.1256,-0.4874
118,random,POISON,SPREAD,1,0.2264,-0.2264,0.2698,-0.4744
119,attacker,FAMOUS,INSECT GROW,1,0.3840,-0.3840,0.1055,-0.4698
120,random,LAW SPREAD,SPREAD,1,0.1012,-0.1012,0.1653,-0.4514
121,attacker,FAMOUS,INSECT SPREAD,1,0.3383,-0.3383,0.0522,-0.4458
122,random,COMPLEX,KEY FALL,1,0.3698,-0.3698,0.5108,-0.4420
123,attacker,FAMOUS,INSECT SPREAD,1,0.3383,-0.3383,0.0471,-0.4368
124,attacker,FAMOUS,INSECT SPREAD,1,0.3383,-0.3383,0.0443,-0.4319
125,attacker,FAMOUS,INSECT SPREAD,1,0.3383,-0.3383,0.0415,-0.4272
126,random,FEAR GROW GROW GROW GROW GROW,GROW,1,0.1006,-0.1006,0.3979,-0.4108
127,attacker,FAMOUS,INSECT GROW,1,0.3840,-0.3840,0.0329,-0.4095
128,attacker,FAMOUS,INSECT SPREAD,1,0.3383,-0.3383,0.0305,-0.4059
129,attacker,FAMOUS,INSECT SPREAD,1,0.3383,-0.3383,0.0287,-0.4026
130,attacker,FAMOUS,CAT RUN,1,0.3889,-0.3889,0.1100,-0.4019
131,attacker,FAMOUS,INSECT SPREAD,1,0.3383,-0.3383,0.0264,-0.3987
132,attacker,FAMOUS,INSECT SPREAD,1,0.3383,-0.3383,0.0248,-0.3957
133,attacker,FAMOUS,INSECT SPREAD,1,0.3383,-0.3383,0.0233,-0.3928
134,attacker,FAMOUS,INSECT SPREAD,1,0.3383,-0.3383,0.0218,-0.3901
135,random,TRAPPED WOLF,MOVE ISOLATED BOOK,1,0.3101,-0.3101,0.5860,-0.3861
136,attacker,FAMOUS,INSECT SPREAD,1,0.3383,-0.3383,0.0186,-0.3837
137,random,WOMAN IMAGINE ORDERED LIE,TRADE WOMAN,1,0.2517,-0.2517,0.9668,-0.3771
138,attacker,FAMOUS,INSECT SPREAD,1,0.3383,-0.3383,0.0148,-0.3752
139,attacker,FAMOUS,INSECT SPREAD,1,0.3383,-0.3383,0.0139,-0.3733
140,random,FIRE,MOVE FAST FIRE MOVE CALM HAPPY CAT,0,1.2564,-1.2564,-15.1791,-0.4175
141,attacker,FAMOUS,INSECT SPREAD,1,0.3383,-0.3383,0.0292,-0.4135
142,attacker,FAMOUS,INSECT SPREAD,1,0.3383,-0.3383,0.0274,-0.4097
143,attacker,FAMOUS,INSECT SPREAD,1,0.3383,-0.3383,0.0258,-0.4062
