epoch,avg_loss,time_s
1,4.138671,6.240
2,3.390098,6.179
3,3.219654,6.057
4,3.128248,5.932
5,3.074927,5.992
6,3.032195,6.102
7,3.004166,5.856
8,2.979416,5.933
9,2.958211,6.083
10,2.941908,6.164
11,2.930679,6.104
12,2.917392,6.050
13,2.907849,6.079
14,2.896262,6.054
15,2.888012,6.130
16,2.879970,6.215
17,2.871707,5.993
18,2.862715,6.091
19,2.855763,10.109
20,2.851882,5.820
21,2.846363,5.888
22,2.839386,5.785
23,2.833786,5.836
24,2.834049,5.783
25,2.823582,5.797
26,2.818823,5.824
27,2.814087,5.773
28,2.810890,5.877
29,2.806621,5.823
30,2.802480,6.131
