epoch,avg_loss,time_s
1,4.095064,9.786
2,3.401857,11.184
3,3.228994,9.856
4,3.145568,9.687
5,3.093865,10.352
6,3.057760,11.030
7,3.024010,11.064
8,3.000711,11.183
9,2.986218,10.438
10,2.968438,11.085
11,2.956559,9.909
12,2.944155,10.559
13,2.932425,11.472
14,2.922437,11.698
15,2.912985,11.811
16,2.902961,11.428
17,2.894836,11.462
18,2.889461,11.447
19,2.881748,11.443
20,2.876008,11.493
21,2.868791,11.500
22,2.863410,11.376
23,2.860562,11.463
24,2.852034,11.415
25,2.847707,11.131
26,2.844678,11.379
27,2.840863,11.380
28,2.835531,10.137
29,2.831734,9.579
30,2.827702,9.755
31,2.821699,9.571
32,2.818767,11.455
