episode,prefix,completion,valid,reward,grammar_reward,tag_reward,axis_reward,noun_tag_dist,verb_tag_dist,adj_tag_dist,loss,baseline
1,POISON FAIL BURN,BURN,1,0.1682,0.0000,0.5000,0.0911,1.0000,0.5000,0.0000,1.4760,0.0084
2,POWER SPREAD,GROW,1,0.2512,0.0000,0.6667,0.2558,1.0000,1.0000,0.0000,1.3892,0.0205
3,METAL BURN BURN BURN,BURN,1,0.1002,0.0000,0.3333,0.0012,1.0000,0.0000,0.0000,0.5478,0.0245
4,BRIDGE,FALL,0,1.2312,1.0000,0.6667,0.1559,1.0000,1.0000,0.0000,5.9076,0.0849
5,CHANCE GROW SPREAD SPREAD SPREAD GROW,GROW,1,0.1720,0.0000,0.5000,0.1098,1.0000,0.5000,0.0000,0.8387,0.0892
6,MEMORY SPREAD FAIL FAIL SPREAD,SPREAD,1,0.1414,0.0000,0.4444,0.0403,1.0000,0.3333,0.0000,0.4974,0.0918
7,OPTIMAL ALGORITHM,UPDATE CHAOTIC SYSTEM UPDATE ERROR,0,1.2436,1.0000,0.8056,0.0096,0.7500,1.0000,0.6667,9.4983,0.1494
8,FOOD BURN FALL BURN BURN BURN,BURN,1,0.1340,0.0000,0.4444,0.0031,1.0000,0.3333,0.0000,-0.1383,0.1486
9,CAMERA UPDATE CHAOTIC AUTOMATED TIME GENERATE,TIME SEE DULL BOOK FALL,1,0.2761,0.0000,0.8056,0.1719,0.6667,1.0000,0.7500,2.1731,0.1550
10,DRONE GENERATE ISOLATED ENCRYPTED BORDER FAIL,FALL,1,0.3796,0.0000,1.0000,0.3982,1.0000,1.0000,1.0000,3.2736,0.1662
11,SEED BURN,MOVE CALM ORDERED WOLF,0,1.2888,1.0000,0.8889,0.1108,1.0000,0.6667,1.0000,7.0988,0.2224
12,CAMERA UPDATE TIME GENERATE TIME SEE,BROKEN CORRUPTED COMPUTER,1,0.3196,0.0000,0.8333,0.3481,0.5000,1.0000,1.0000,1.6807,0.2272
13,STRANGER RUN EAT DENSE SIMPLE MAP,BURN,1,0.2883,0.0000,0.9167,0.0666,1.0000,0.7500,1.0000,0.9630,0.2303
14,METAL FALL BURN BURN FALL FALL,BURN FALL,1,0.1001,0.0000,0.3333,0.0007,1.0000,0.0000,0.0000,-1.2095,0.2238
15,SENSOR ENCODE CORRUPTED FAMOUS SYSTEM HEAR,SIMPLE STRONG BOOK,1,0.2877,0.0000,0.8000,0.2385,1.0000,1.0000,0.4000,1.0938,0.2270
16,WEAPON SPREAD SPREAD SPREAD SPREAD SPREAD,FALL,1,0.2667,0.0000,0.6667,0.3333,1.0000,1.0000,0.0000,0.4030,0.2290
17,PROUD MAN,RUN,0,1.3337,1.0000,1.0000,0.1687,1.0000,1.0000,1.0000,7.2628,0.2842
18,BIRD KNOW SEED HEAR LAW BURN,TALK,0,1.2127,1.0000,0.6667,0.0634,1.0000,1.0000,0.0000,19.6112,0.3306
19,BORDER,GROW SPREAD,1,0.2149,0.0000,0.6667,0.0743,1.0000,1.0000,0.0000,-0.5423,0.3248
20,SIMPLE WOLF,FALL,0,1.3324,1.0000,1.0000,0.1619,1.0000,1.0000,1.0000,8.4870,0.3752
21,DENSE LEADER,BURN FALL MOVE BIG SENSOR BURN BURN,0,1.2977,1.0000,0.8889,0.1553,1.0000,1.0000,0.6667,7.5457,0.4213
22,MEMORY FAIL GROW GROW SPREAD FAIL,FAIL FAIL UPDATE SLOW CAMERA,0,1.2679,1.0000,0.8889,0.0063,1.0000,0.6667,1.0000,9.7789,0.4637
